com.samsung.health.food_info,6307003,7
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
301.0,0.0,2.0,0.0,68.0,"110 kcal, Per 100g",,default-fatsecret-4881229,118,77.0,0.0,1.46,2024-04-17 00:49:49.929,2024-04-17 00:49:49.929,0.354,27.25,0.33,5.0,Skinless Chicken Breast,0.0,0.0,1.0,130.0,"breast, bone and skin removed",,3sHRV5oxWU,g,0.389,0.024,com.sec.android.app.shealth,0.0,0.9076923,ea2c1e17-b9ad-4298-a730-993b79695f76,1,
111.0,0.0,0.0,0.0,0.0,"1 kcal, Per 100g",,default-fatsecret-7331,237,5.0,0.0,0.05,2024-04-17 00:49:49.930,2024-04-17 00:49:49.930,0.028,0.28,0.002,0.0,Coffee,0.0,0.0,0.0,2.0,mug (8 fl oz),,3sHRV5oxWU,g,0.005,,com.sec.android.app.shealth,0.09,88.5,69d16564-2970-48e7-a439-6dc721ece829,1,
0.0,0.0,0.0,0.0,0.0,"0 kcal, Per 100g",,default-fatsecret-37922,237,5.0,0.0,0.0,2024-04-17 00:49:49.930,2024-04-17 00:49:49.930,0.0,0.0,0.0,0.0,Water,0.0,0.0,0.0,0.0,cup (8 fl oz),,3sHRV5oxWU,g,0.0,,com.sec.android.app.shealth,0.0,,48d857a2-9721-47b2-849f-981653799f66,1,
422.0,2.0,17.0,0.0,0.0,"89 kcal, Per 100g",,default-fatsecret-5388,118,1.0,3.1,0.39,2024-04-17 00:49:49.927,2024-04-17 00:49:49.927,0.038,1.29,0.086,2.0,Banana,14.43,0.0,1.0,105.0,medium (7" to 7-7/8" long),,3sHRV5oxWU,g,0.132,,com.sec.android.app.shealth,26.95,1.1222222,d5b4d8e2-a936-424e-b54b-787052b22590,1,
366.0,9.0,1.0,0.0,20.0,"50 kcal, Per 100g",,default-fatsecret-800,244,100.0,0.0,4.81,2024-04-17 00:49:49.930,2024-04-17 00:49:49.930,1.366,8.05,0.178,0.0,2% Fat Milk,12.35,0.0,28.0,122.0,cup,,3sHRV5oxWU,g,3.067,,com.sec.android.app.shealth,11.42,2.0,b28cef91-b62b-4b16-ac05-56020e25519f,1,
170.0,17.0,20.0,0.0,0.0,"30 kcal, Per 100g",,default-fatsecret-35984,152,2.0,0.6,0.23,2024-04-17 00:49:49.929,2024-04-17 00:49:49.929,0.056,0.93,0.076,2.0,Watermelon,9.42,0.0,1.0,46.0,"cup, diced",,3sHRV5oxWU,g,0.024,,com.sec.android.app.shealth,11.48,3.347826,a5e9ec55-a202-4c7e-b35b-f7b794c9372b,1,
233.0,0.0,149.0,0.0,0.0,"32 kcal, Per 100g",,default-fatsecret-35976,152,2.0,3.0,0.46,2024-04-17 00:49:49.929,2024-04-17 00:49:49.929,0.065,1.02,0.236,4.0,Strawberries,7.08,0.0,2.0,49.0,"cup, halves",,3sHRV5oxWU,g,0.023,,com.sec.android.app.shealth,11.67,3.1020408,6abd1b15-6bde-409a-99ab-3879d60069ed,1,
,0.0,0.0,0.0,0.0,"140 kcal, Per 1 can",,default-fatsecret-3650710,12,45.0,0.0,0.0,2024-04-17 00:49:49.930,2024-04-17 00:49:49.930,0.0,0.0,0.0,0.0,Coco-Cola Classic (12 oz)(Coca-Cola),39.0,0.0,0.0,140.0,serving,,3sHRV5oxWU,oz,0.0,0.0,com.sec.android.app.shealth,39.0,,46da6bd4-c850-45dd-9a1e-2bed9f8b9cc6,1,
67.0,6.0,0.0,0.0,210.0,"102 kcal, Per 53g",,default-fatsecret-3096,46,238.0,0.0,6.76,2024-04-17 00:49:49.929,2024-04-17 00:49:49.929,2.754,6.24,1.214,5.0,Fried Egg,0.38,0.0,3.0,89.0,large,,3sHRV5oxWU,g,1.88,,com.sec.android.app.shealth,0.43,0.5135135,1d2c8497-5140-4d70-8360-6dd591790bf7,1,
,0.0,0.0,0.0,105.0,"520 kcal, Per 1 serving",,fatsecret-68722052,249,1130.0,3.0,22.0,2024-04-17 01:21:36.218,2024-04-17 01:21:36.218,,38.0,,0.0,Grilled Chicken Club w/ Colby Jack(Chick-Fil-A),12.0,,0.0,520.0,serving,,3sHRV5oxWU,g,8.0,0.0,com.sec.android.app.shealth,45.0,0.47884616,6e55bbc5-707a-48a8-a1b8-fc752c552178,1,
