com.samsung.health.movement,6307003,1
create_sh_ver,start_time,custom,binning_data,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62800471,2024-12-10 21:17:00.000,,f78cfff7-2ac8-43c4-b5c7-56adc1bcc452.binning_data.json,62800471,2024-12-10 22:17:50.046,2024-12-10 21:37:25.194,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-10 21:59:59.999,f78cfff7-2ac8-43c4-b5c7-56adc1bcc452,
62800471,2024-12-10 22:00:00.000,,9858deff-de0b-423d-809d-1b1782fac8cc.binning_data.json,62800471,2024-12-10 23:18:26.046,2024-12-10 22:17:50.139,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-10 22:59:59.999,9858deff-de0b-423d-809d-1b1782fac8cc,
62800471,2024-12-10 23:00:00.000,,c5c398bc-998a-4c02-839a-4fd308a6095e.binning_data.json,62800471,2024-12-11 00:19:04.047,2024-12-10 23:18:26.055,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-10 23:59:59.999,c5c398bc-998a-4c02-839a-4fd308a6095e,
62800471,2024-12-11 00:00:00.000,,8a44d449-1128-4488-b361-790bd51eecee.binning_data.json,62800471,2024-12-11 01:19:40.051,2024-12-11 00:19:04.056,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-11 00:59:59.999,8a44d449-1128-4488-b361-790bd51eecee,
62800471,2024-12-11 09:00:00.000,,e0132fb1-6eba-428f-a5bf-e413c5a7c287.binning_data.json,62800471,2024-12-11 10:13:00.043,2024-12-11 09:12:24.149,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-11 09:59:59.999,e0132fb1-6eba-428f-a5bf-e413c5a7c287,
62800471,2024-12-11 01:00:00.000,,f9c904f9-4cad-4217-b67e-0e8a06b64908.binning_data.json,62800471,2024-12-11 02:00:05.052,2024-12-11 01:19:40.136,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-11 01:59:59.999,f9c904f9-4cad-4217-b67e-0e8a06b64908,
62800471,2024-12-11 02:01:00.000,,4fcfa75d-7206-45f2-a409-b21694012d87.binning_data.json,62800471,2024-12-11 02:15:05.286,2024-12-11 02:15:05.286,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-11 02:20:59.999,4fcfa75d-7206-45f2-a409-b21694012d87,
62800471,2024-12-11 16:00:00.000,,db69cd66-32a2-482f-898c-5ff855d89e3c.binning_data.json,62800471,2024-12-11 17:17:21.040,2024-12-11 16:16:43.049,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-11 16:59:59.999,db69cd66-32a2-482f-898c-5ff855d89e3c,
62800471,2024-12-11 05:00:00.000,,cee27256-741b-4bdc-a9d6-cd166102cc52.binning_data.json,62800471,2024-12-11 06:10:35.038,2024-12-11 05:09:58.055,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-11 05:59:59.999,cee27256-741b-4bdc-a9d6-cd166102cc52,
62800471,2024-12-11 14:00:00.000,,cc6a40b4-3cf5-45ca-a7a7-098aa7eca9b7.binning_data.json,62800471,2024-12-11 15:16:05.041,2024-12-11 14:15:27.139,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-11 14:59:59.999,cc6a40b4-3cf5-45ca-a7a7-098aa7eca9b7,
