com.samsung.health.water_intake,6307003,6
start_time,amount,custom,update_time,create_time,client_data_id,client_data_ver,time_offset,deviceuuid,unit_amount,comment,pkg_name,datauuid
2024-04-16 04:00:13.650,250.0,,2024-04-16 04:00:13.691,2024-04-16 04:00:13.691,,,UTC-0700,b4nSrpWupN,250.0,,com.sec.android.app.shealth,83ba7e47-4705-4a4a-8d52-b06552ce6095,
2024-04-16 04:00:15.278,250.0,,2024-04-16 04:00:15.279,2024-04-16 04:00:15.279,,,UTC-0700,b4nSrpWupN,250.0,,com.sec.android.app.shealth,db4e82c2-0710-42b6-99fb-ed5c2451595b,
2024-04-16 04:00:16.500,250.0,,2024-04-16 04:00:16.504,2024-04-16 04:00:16.504,,,UTC-0700,b4nSrpWupN,250.0,,com.sec.android.app.shealth,27229fbb-e522-4c4d-b0c2-119e29077dcd,
2024-04-17 00:56:24.164,250.0,,2024-04-17 00:56:24.169,2024-04-17 00:56:24.169,,,UTC-0700,3sHRV5oxWU,250.0,,com.sec.android.app.shealth,fdd42738-a01c-4781-9d40-f16aa4852fa2,
2024-04-17 00:56:25.999,250.0,,2024-04-17 00:56:26.007,2024-04-17 00:56:26.007,,,UTC-0700,3sHRV5oxWU,250.0,,com.sec.android.app.shealth,e1d5a78f-14be-4e33-b39c-48ffb4eae46e,
2024-04-17 00:56:27.307,250.0,,2024-04-17 00:56:27.312,2024-04-17 00:56:27.312,,,UTC-0700,3sHRV5oxWU,250.0,,com.sec.android.app.shealth,d0951355-de74-4af9-87d0-939560a8f594,
2024-04-19 00:09:15.178,250.0,,2024-04-19 00:09:15.182,2024-04-19 00:09:15.182,,,UTC-0700,3sHRV5oxWU,250.0,,com.sec.android.app.shealth,636b5dcc-2bbe-4038-a637-975212d2f263,
2024-04-19 03:24:30.332,250.0,,2024-04-19 03:24:30.335,2024-04-19 03:24:30.335,,,UTC-0700,b4nSrpWupN,250.0,,com.sec.android.app.shealth,c5bf7144-4cb3-4a72-b4a3-46fc4363d7c4,
2024-04-23 01:22:12.521,250.0,,2024-04-23 01:22:12.526,2024-04-23 01:22:12.526,,,UTC-0700,3sHRV5oxWU,250.0,,com.sec.android.app.shealth,b1bbaddc-5fb0-4802-a4cc-86350f8c1436,
2024-04-23 01:22:14.070,250.0,,2024-04-23 01:22:14.080,2024-04-23 01:22:14.080,,,UTC-0700,3sHRV5oxWU,250.0,,com.sec.android.app.shealth,45a11de8-d88e-4d0e-89c3-eeb633b931eb,
2024-04-23 05:02:46.201,250.0,,2024-04-23 05:02:46.202,2024-04-23 05:02:46.202,,,UTC-0700,b4nSrpWupN,250.0,,com.sec.android.app.shealth,c7b2dc9c-b59e-44bf-b8f3-97455a5a12da,
2024-04-28 04:10:15.822,250.0,,2024-04-28 04:10:15.824,2024-04-28 04:10:15.824,,,UTC-0700,b4nSrpWupN,250.0,,com.sec.android.app.shealth,dbc00077-16e7-447d-bba0-68236b564d7e,
2024-04-28 04:10:18.174,250.0,,2024-04-28 04:10:18.175,2024-04-28 04:10:18.175,,,UTC-0700,b4nSrpWupN,250.0,,com.sec.android.app.shealth,105e04f9-4931-45ba-bc73-0297db188f67,
2024-04-28 04:10:19.506,250.0,,2024-04-28 04:10:19.507,2024-04-28 04:10:19.507,,,UTC-0700,b4nSrpWupN,250.0,,com.sec.android.app.shealth,d512ed34-89cf-4128-976a-8d07134a5fca,
2024-04-28 04:46:37.776,250.0,,2024-04-28 04:46:37.777,2024-04-28 04:46:37.777,,,UTC-0700,b4nSrpWupN,250.0,,com.sec.android.app.shealth,19a5bf67-999e-499c-9aff-7cc95da946c5,
