com.samsung.shealth.tracker.heart_rate,6307003,3
source,tag_id,com.samsung.health.heart_rate.create_sh_ver,com.samsung.health.heart_rate.heart_beat_count,com.samsung.health.heart_rate.start_time,com.samsung.health.heart_rate.custom,com.samsung.health.heart_rate.binning_data,com.samsung.health.heart_rate.modify_sh_ver,com.samsung.health.heart_rate.update_time,com.samsung.health.heart_rate.create_time,com.samsung.health.heart_rate.client_data_id,com.samsung.health.heart_rate.max,com.samsung.health.heart_rate.min,com.samsung.health.heart_rate.client_data_ver,com.samsung.health.heart_rate.time_offset,com.samsung.health.heart_rate.deviceuuid,com.samsung.health.heart_rate.comment,com.samsung.health.heart_rate.pkg_name,com.samsung.health.heart_rate.end_time,com.samsung.health.heart_rate.datauuid,com.samsung.health.heart_rate.heart_rate
,21312,62650131,1,2024-03-29 06:50:29.258,,,62650131,2024-03-29 06:50:29.403,2024-03-29 06:50:29.403,,,,,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-03-29 06:50:29.258,6cf4c67c-3ecb-4f09-b54a-6a72e72f68d2,96.0,
,21312,62650131,1,2024-03-29 05:10:29.276,,,62650131,2024-03-29 05:10:30.552,2024-03-29 05:10:30.552,,,,,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-03-29 05:10:29.276,579774c4-e899-4ba8-9111-8c709a49367f,96.0,
,21312,62650131,1,2024-03-29 05:20:29.298,,,62650131,2024-03-29 05:20:30.439,2024-03-29 05:20:30.439,,,,,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-03-29 05:20:29.298,6229ac93-5f91-4570-b06b-350f8517912a,95.0,
,21312,62650131,1,2024-03-29 08:00:29.329,,,62650131,2024-03-29 08:14:59.501,2024-03-29 08:14:59.501,,,,,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-03-29 08:00:29.329,e07c7df1-24ce-4135-a8e4-3d10c2fdd051,95.0,
,21312,62650131,1,2024-03-29 06:00:29.774,,,62650131,2024-03-29 06:00:30.504,2024-03-29 06:00:30.504,,,,,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-03-29 06:00:29.774,b31f4fbd-301c-42e0-b68b-9032dd6c29af,101.0,
,21312,62650131,1,2024-03-29 06:10:29.320,,,62650131,2024-03-29 06:10:30.244,2024-03-29 06:10:30.244,,,,,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-03-29 06:10:29.320,e5c3395d-f006-4548-bdb7-0d6b021e0efc,97.0,
,21312,62650131,1,2024-03-29 07:00:29.288,,,62650131,2024-03-29 07:00:28.998,2024-03-29 07:00:28.998,,,,,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-03-29 07:00:29.288,1293bae1-16e7-4350-bc14-07e5bb7c014b,101.0,
,21312,62650131,1,2024-03-29 06:20:29.287,,,62650131,2024-03-29 06:20:30.031,2024-03-29 06:20:30.031,,,,,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-03-29 06:20:29.287,76036464-4539-4e1d-a4fa-bf0dc2dcfd6e,92.0,
,21312,62650131,1,2024-03-29 07:10:29.245,,,62650131,2024-03-29 07:10:29.479,2024-03-29 07:10:29.479,,,,,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-03-29 07:10:29.245,4fbca491-957d-48e9-8fd5-610e7abbc2d6,101.0,
,21312,62650131,1,2024-03-29 08:30:29.306,,,62650131,2024-03-29 08:34:59.346,2024-03-29 08:34:59.346,,,,,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-03-29 08:30:29.306,59548d80-ba96-41f8-b79b-9cd4e9200023,97.0,
,21312,62650131,1,2024-03-29 06:30:29.225,,,62650131,2024-03-29 06:30:29.875,2024-03-29 06:30:29.875,,,,,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-03-29 06:30:29.225,28777cf7-81f3-4664-845a-391124ec62a3,92.0,
