com.samsung.health.food_intake,6307003,6
create_sh_ver,start_time,amount,custom,modify_sh_ver,update_time,create_time,meal_type,client_data_id,name,unit,client_data_ver,calorie,time_offset,deviceuuid,comment,pkg_name,datauuid,food_info_id
62660010,2024-04-17 01:20:55.108,1.0,,62660010,2024-04-17 01:22:04.898,2024-04-17 01:22:04.898,100003,,Medium Mac & Cheese(Chick-Fil-A),120001,,450.0,UTC-0700,3sHRV5oxWU,,com.sec.android.app.shealth,e14c353e-4842-4cf2-9695-06873405b68a,e75d42b6-70fa-4c7c-9380-8325f5813d8c,
62660010,2024-04-17 01:20:55.108,1.0,,62660010,2024-04-17 01:22:36.567,2024-04-17 01:22:36.567,100003,,Frosted Lemonade w/ Diet Lemonade(Chick-Fil-A),120001,,250.0,UTC-0700,3sHRV5oxWU,,com.sec.android.app.shealth,0539c137-5447-4e4b-8a88-66094b59a66f,c43599d6-dbc5-4955-99c2-d2221356904a,
62660010,2024-04-17 01:22:42.801,1.0,,62660010,2024-04-17 01:23:35.984,2024-04-17 01:23:35.984,100001,,Coffee with Cream,120001,,26.0,UTC-0700,3sHRV5oxWU,,com.sec.android.app.shealth,ba7ad942-35a5-4e66-992b-9ca943b706b2,1c79d632-07fa-45e3-b145-520b9b863bfd,
62660010,2024-04-17 01:24:24.281,1.0,,62660010,2024-04-17 01:24:36.306,2024-04-17 01:24:36.306,100002,,Nacho Fries(Taco Bell),120001,,320.0,UTC-0700,3sHRV5oxWU,,com.sec.android.app.shealth,30d728ba-3f53-4d86-83d2-4912ee2751a0,bd244bb5-0bf9-49ea-9471-89825266e2b8,
62660010,2024-04-17 01:20:55.108,1.0,,62660010,2024-04-17 01:21:36.224,2024-04-17 01:21:36.224,100003,,Grilled Chicken Club w/ Colby Jack(Chick-Fil-A),120001,,520.0,UTC-0700,3sHRV5oxWU,,com.sec.android.app.shealth,31c2535e-e64f-46a6-ba0a-6485fc60bb56,6e55bbc5-707a-48a8-a1b8-fc752c552178,
62660010,2024-04-19 00:09:27.221,1.0,,62660010,2024-04-19 00:09:38.834,2024-04-19 00:09:38.834,100005,,Whole Milk,120001,,146.0,UTC-0700,3sHRV5oxWU,,com.sec.android.app.shealth,a8197d18-becc-48d5-9e7f-15fe33647267,24ec0f14-3a92-4f66-b6a4-13c28469d999,
62660010,2024-04-19 00:07:23.389,1.0,,62660010,2024-04-19 00:08:02.688,2024-04-19 00:08:02.688,100001,,"Everything Bagel with Bacon,Egg & Cheese(Braum's)",120001,,410.0,UTC-0700,3sHRV5oxWU,,com.sec.android.app.shealth,cf934e53-45e7-4b88-8c5b-85ada5218595,77061c6f-961a-4322-b6cb-f7ac78589bc2,
62660010,2024-04-19 00:08:07.308,1.0,,62660010,2024-04-19 00:08:20.266,2024-04-19 00:08:20.266,100002,,Turkey Sandwich,120001,,308.0,UTC-0700,3sHRV5oxWU,,com.sec.android.app.shealth,adc4017e-ae51-4fbc-bb53-82bd4c96dc4c,567b9a78-9384-4491-b6e0-b3cfdc3cdcb8,
62660010,2024-04-19 00:08:07.308,1.0,,62660010,2024-04-19 00:08:37.248,2024-04-19 00:08:37.248,100002,,Nacho Cheese Tortilla Chips (28g)(Doritos),120001,,150.0,UTC-0700,3sHRV5oxWU,,com.sec.android.app.shealth,e86229ff-afc4-4cd4-bda0-bcdf08994f8b,6592672c-4c67-4ae0-b494-57b391f2ae81,
62660010,2024-04-19 00:08:07.308,1.0,,62660010,2024-04-19 00:08:53.147,2024-04-19 00:08:53.147,100002,,Oatmeal Cookies (with Raisins),120001,,65.0,UTC-0700,3sHRV5oxWU,,com.sec.android.app.shealth,64d74728-58f5-4ab8-8442-ba6a8e245537,dc093763-aa08-4282-ae2c-3ad82b52f169,
62660010,2024-04-19 04:42:30.940,1.0,,62660010,2024-04-19 04:42:49.805,2024-04-19 04:42:49.805,100003,,Medium Mac & Cheese(Chick-Fil-A),120001,,450.0,UTC-0700,3sHRV5oxWU,,com.sec.android.app.shealth,f98b82d7-c3b2-46de-b79b-fc5893757d32,e75d42b6-70fa-4c7c-9380-8325f5813d8c,
62660010,2024-04-19 04:42:30.940,1.0,,62660010,2024-04-19 04:44:22.146,2024-04-19 04:44:22.146,100003,,Frosted Lemonade(Chick-fil-A),120001,,330.0,UTC-0700,3sHRV5oxWU,,com.sec.android.app.shealth,2c1bcca4-1abf-409d-b72c-6c8cd0261277,c99a3a4b-4f16-4b78-9cb8-a2aaee805ca1,
62660010,2024-04-21 00:17:30.029,1.0,,62660010,2024-04-21 00:17:42.603,2024-04-21 00:17:42.603,100004,,String Cheese(Great Value),120001,,80.0,UTC-0700,3sHRV5oxWU,,com.sec.android.app.shealth,2ca035d9-4e3b-4b5e-97df-63ac1241d7e9,b8a2935a-32b5-4890-9150-309f9f58ecbb,
62660010,2024-04-21 00:16:21.568,1.0,,62660010,2024-04-21 00:16:52.614,2024-04-21 00:16:52.614,100005,,Thirst Quencher Lemon-Lime (12 oz)(Gatorade),120001,,80.0,UTC-0700,3sHRV5oxWU,,com.sec.android.app.shealth,d0e04006-4650-4c06-b3e2-ea68b5282b53,e56d4c1c-9c38-41de-b141-5afa296fbcc6,
