com.samsung.shealth.tracker.pedometer_step_count,6307003,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
17736,4,0,37,2026-01-05 05:52:00.000,,,2026-01-05 05:52:41.183,2026-01-05 05:52:41.183,37,1.4323776,25.405882,1.133823,UTC-0800,+NZu810/s3,com.sec.android.app.shealth,2026-01-05 05:53:00.000,19b77df9-6272-4871-95b3-e359cc0c2908,
10257,4,0,16,2026-01-05 05:53:00.000,,,2026-01-05 05:54:08.909,2026-01-05 05:54:08.909,16,1.347172,13.818899,0.74701786,UTC-0800,+NZu810/s3,com.sec.android.app.shealth,2026-01-05 05:54:00.000,8654a0d3-b7cb-4047-9f81-30986faea151,
9883,4,0,20,2026-01-05 05:54:00.000,,,2026-01-05 05:54:10.045,2026-01-05 05:54:08.932,20,1.4335661,14.168835,0.6004149,UTC-0800,+NZu810/s3,com.sec.android.app.shealth,2026-01-05 05:55:00.000,3da54d18-eba0-42c1-98de-37a483bec743,
25969,4,0,42,2026-01-05 05:59:00.000,,,2026-01-05 05:59:49.712,2026-01-05 05:59:25.227,42,1.0836473,28.14228,1.2993715,UTC-0800,+NZu810/s3,com.sec.android.app.shealth,2026-01-05 06:00:00.000,09b178a9-8cb2-474a-971b-23981728817e,
4021,4,0,6,2026-01-05 06:01:00.000,,,2026-01-05 06:01:07.544,2026-01-05 06:01:07.544,6,0.9719568,3.9090729,0.19083285,UTC-0800,+NZu810/s3,com.sec.android.app.shealth,2026-01-05 06:02:00.000,cabc7d12-2ed7-442b-ab42-c835f8914d3f,
18266,4,0,31,2026-01-05 06:03:00.000,,,2026-01-05 06:03:20.083,2026-01-05 06:03:00.219,31,1.1486409,20.981773,0.95285964,UTC-0800,+NZu810/s3,com.sec.android.app.shealth,2026-01-05 06:04:00.000,5fa274cf-8c19-4720-843c-4bf4a9d628ad,
40365,4,3,71,2026-01-05 06:07:00.000,,,2026-01-05 06:07:59.961,2026-01-05 06:07:13.978,74,1.4500098,58.53064,2.8064938,UTC-0800,+NZu810/s3,com.sec.android.app.shealth,2026-01-05 06:08:00.000,acf3df96-2372-408a-a752-fffa472f8c2d,
47773,4,0,95,2026-01-05 06:08:00.000,,,2026-01-05 06:09:19.562,2026-01-05 06:08:00.533,95,1.4136386,67.534134,2.8524804,UTC-0800,+NZu810/s3,com.sec.android.app.shealth,2026-01-05 06:09:00.000,6f6896b4-d084-46fb-8fce-1901c46366f1,
25058,4,0,42,2026-01-05 06:09:00.000,,,2026-01-05 06:09:29.316,2026-01-05 06:09:19.597,42,1.1654804,29.204834,1.2762003,UTC-0800,+NZu810/s3,com.sec.android.app.shealth,2026-01-05 06:10:00.000,8e2d5784-80ee-40ba-82f2-03891161a899,
6628,4,0,9,2026-01-05 06:14:00.000,,,2026-01-05 06:14:21.559,2026-01-05 06:14:21.559,9,0.9275043,6.1481323,0.27838802,UTC-0800,+NZu810/s3,com.sec.android.app.shealth,2026-01-05 06:15:00.000,96b221b3-1058-4021-a139-6c91f6b9a3e6,
4129,4,0,6,2026-01-05 06:37:00.000,,,2026-01-05 06:37:10.237,2026-01-05 06:37:10.237,6,0.9545563,3.9415894,0.19012928,UTC-0800,+NZu810/s3,com.sec.android.app.shealth,2026-01-05 06:38:00.000,1b636033-468f-4439-b09d-5a5b960202a7,
6663,4,0,18,2026-01-05 06:38:00.000,,,2026-01-05 06:38:34.995,2026-01-05 06:38:27.705,18,1.986275,13.235962,0.51369095,UTC-0800,+NZu810/s3,com.sec.android.app.shealth,2026-01-05 06:39:00.000,f309016d-d546-4493-9cfe-d65692a167f7,
4981,4,0,7,2026-01-05 14:22:00.000,,,2026-01-05 14:22:35.915,2026-01-05 14:22:35.915,7,0.98123723,4.888092,0.21152115,UTC-0800,+NZu810/s3,com.sec.android.app.shealth,2026-01-05 14:23:00.000,4e69cb09-d9a2-4ac1-ac1e-a701a161a7f3,
21851,4,0,42,2026-01-05 14:31:00.000,,,2026-01-05 14:32:10.775,2026-01-05 14:32:10.775,42,1.3531461,29.567871,1.2638264,UTC-0800,+NZu810/s3,com.sec.android.app.shealth,2026-01-05 14:32:00.000,bc9bc72e-8660-4a7e-8f8f-e8da0aaaeff1,
2976,4,0,6,2026-01-05 14:32:00.000,,,2026-01-05 14:32:46.098,2026-01-05 14:32:46.098,6,1.4843309,4.4185486,0.17439461,UTC-0800,+NZu810/s3,com.sec.android.app.shealth,2026-01-05 14:33:00.000,cbf7e298-fb52-46ff-8206-949530d667eb,
30399,4,0,61,2026-01-05 14:39:00.000,,,2026-01-05 14:40:13.256,2026-01-05 14:39:34.965,61,1.4159713,43.04538,1.834054,UTC-0800,+NZu810/s3,com.sec.android.app.shealth,2026-01-05 14:40:00.000,c8bea63f-49aa-480e-b357-549257316022,
9359,4,0,17,2026-01-05 14:40:00.000,,,2026-01-05 14:40:13.298,2026-01-05 14:40:13.298,17,1.2678372,11.865753,0.51320267,UTC-0800,+NZu810/s3,com.sec.android.app.shealth,2026-01-05 14:41:00.000,38856149-f4c2-43a9-b1dc-90e5cb1a0b7b,
7635,4,0,12,2026-01-05 14:41:00.000,,,2026-01-05 14:43:32.860,2026-01-05 14:43:32.860,12,1.1199063,8.550842,0.35497665,UTC-0800,+NZu810/s3,com.sec.android.app.shealth,2026-01-05 14:42:00.000,c5f51817-9424-40cf-bdaf-ffa830e4a18d,
