com.samsung.shealth.badge,6307003,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
0,2026-01-01 00:00:00.000,,,0,,2026-01-27 03:17:04.050,2026-01-05 05:44:06.837,,daily_activity_month_streak_jan,,,UTC+0000,{"a":false},+NZu810/s3,com.sec.android.app.shealth,,tracker.daily_activity,2026-01-26 00:00:00.000,24fb7076-0772-4c04-8072-1ec33f82902a,
,2024-04-02 20:21:17.111,9014001,,1,,2024-04-02 22:07:46.074,2024-04-02 22:07:46.074,,exercise_goal_first_achieve,,,UTC-0500,,b4nSrpWupN,com.sec.android.app.shealth,50f14321-24a2-49ff-823b-8ebe91cd2a87,tracker.exercise,2024-04-02 22:07:45.733,6d98a679-ff4a-4d06-83a9-0b540673cfa1,
,2024-04-10 23:53:17.197,1001,,1,,2024-04-11 00:19:51.905,2024-04-11 00:19:51.905,,exercise_goal_first_achieve,,,UTC-0700,,b4nSrpWupN,com.sec.android.app.shealth,a71021a5-a58e-4685-821a-6cf04f306f43,tracker.exercise,2024-04-11 00:19:51.565,9606eff9-f912-414d-b896-4c8671fd7525,
,2024-04-17 00:50:06.582,,,1,,2024-04-17 00:50:06.586,2024-04-17 00:50:06.586,,sleep_goal_first_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-04-17 00:50:06.582,7bdb7693-aadd-40af-ba3b-e47244f3fa90,
,2024-03-31 22:54:31.558,13001,,1,,2024-04-01 00:15:01.748,2024-04-01 00:15:01.748,,exercise_goal_first_achieve,,,UTC-0500,,b4nSrpWupN,com.sec.android.app.shealth,1478b6ad-5bd3-402c-9095-936140452ac4,tracker.exercise,2024-04-01 00:15:01.440,7e9995d1-2e82-4907-9cd0-10dd59d6dbae,
,2024-07-03 16:34:13.355,,,1,,2024-07-03 16:34:13.971,2024-07-03 16:34:13.971,,weight_first_body_check,,,UTC-0700,,b4nSrpWupN,com.sec.android.app.shealth,,tracker.weight,2024-07-03 16:34:13.355,81dabdc5-a936-4ea5-a058-1ff10eaef1d8,
,2024-07-13 20:42:41.731,15002,,1,,2024-07-13 21:12:50.399,2024-07-13 21:12:50.399,,exercise_goal_first_achieve,,,UTC-0700,,b4nSrpWupN,com.sec.android.app.shealth,6810df13-e957-4b2a-af3d-ee05706edfc6,tracker.exercise,2024-07-13 21:12:50.113,b9a9ea30-36c7-44bd-a880-31f13c213018,
,2024-07-27 23:41:01.939,15005,,1,,2024-07-27 23:56:46.738,2024-07-27 23:56:46.738,,exercise_goal_first_achieve,,,UTC-0700,,b4nSrpWupN,com.sec.android.app.shealth,5b7218aa-fde1-4361-88cb-805e20dc3b70,tracker.exercise,2024-07-27 23:56:45.514,797adf5f-d2b1-41fa-9976-ac85f3018216,
,2024-08-03 22:22:56.559,0,,1,,2024-08-03 22:41:07.918,2024-08-03 22:41:07.918,,exercise_goal_first_achieve,,,UTC-0700,,b4nSrpWupN,com.sec.android.app.shealth,b0c9b3c6-686b-44a9-b32f-b7b041f3b4be,tracker.exercise,2024-08-03 22:41:07.133,0ac98e97-a983-42c2-b175-39aff740e3ed,
,2024-07-14 00:00:00.000,,,1,be1bf15d-a712-4720-b630-d99311cacc96,2024-08-14 15:48:44.941,2024-08-14 15:48:44.941,,sleep_coaching_completion_penguin,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-08-03 00:00:00.000,4805395e-521e-4dc4-94fa-3711199cad0a,
1,2024-09-03 07:00:00.000,,,1,,2024-09-03 13:26:02.857,2024-09-03 13:26:02.857,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-09-04 06:59:59.999,f7c109c7-1763-4ba5-8b82-2bb84c695e2d,
1,2024-09-04 07:00:00.000,,,1,,2024-09-04 13:26:34.116,2024-09-04 13:26:34.116,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-09-05 06:59:59.999,dbca55ca-37f1-404e-a9b8-ed0918c2f138,
1,2024-09-07 07:00:00.000,,,1,,2024-09-07 15:44:53.596,2024-09-07 15:44:53.596,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-09-08 06:59:59.999,66bb355d-ea38-47f7-86ed-2862b299f741,
1,2024-09-08 07:00:00.000,,,1,,2024-09-08 13:40:22.534,2024-09-08 13:40:22.534,,sleep_good_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-09-09 06:59:59.999,115d7daf-cd5f-4533-a424-ae9b293698cd,
1,2024-09-10 07:00:00.000,,,1,,2024-09-10 13:41:43.237,2024-09-10 13:41:43.237,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-09-11 06:59:59.999,346dff97-3434-4bb4-98b2-efbc76123721,
1,2024-09-11 07:00:00.000,,,1,,2024-09-11 13:37:23.029,2024-09-11 13:37:23.029,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-09-12 06:59:59.999,0ad53551-1306-427a-a2dc-bda63b152f03,
1,2024-09-12 07:00:00.000,,,1,,2024-09-12 13:32:02.717,2024-09-12 13:32:02.717,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-09-13 06:59:59.999,d81470f0-293f-4e8d-9e44-90e158659100,
1,2024-09-17 07:00:00.000,,,1,,2024-09-17 13:30:06.897,2024-09-17 13:30:06.897,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-09-18 06:59:59.999,7dec3355-0e82-4c43-a9d9-cc41e93e7dab,
1,2024-09-18 07:00:00.000,,,1,,2024-09-18 13:29:09.919,2024-09-18 13:29:09.919,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-09-19 06:59:59.999,7e35a5b1-da3a-4cde-81a8-97b15e783279,
1,2024-09-19 07:00:00.000,,,1,,2024-09-19 13:37:04.019,2024-09-19 13:37:04.019,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-09-20 06:59:59.999,fd0178bd-3d55-46f1-b516-98b329e1f83b,
1,2024-09-22 07:00:00.000,,,1,,2024-09-22 15:30:55.156,2024-09-22 15:30:55.156,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-09-23 06:59:59.999,3ecaf5fe-ca68-42c8-9c8d-6b2cc6ffe584,
1,2024-09-23 07:00:00.000,,,1,,2024-09-23 13:50:50.059,2024-09-23 13:50:50.059,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-09-24 06:59:59.999,a9250f9d-24be-4a6a-91ad-204128aeceea,
1,2024-09-24 07:00:00.000,,,1,,2024-09-24 13:40:16.888,2024-09-24 13:40:16.888,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-09-25 06:59:59.999,92c4545c-e82f-42a8-b3bc-bd20782a99a9,
1,2024-09-25 07:00:00.000,,,1,,2024-09-25 13:42:45.517,2024-09-25 13:42:45.517,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-09-26 06:59:59.999,2c42bb07-5e9a-470c-a67a-40f4f26b1b55,
1,2024-09-26 07:00:00.000,,,1,,2024-09-26 13:27:36.285,2024-09-26 13:27:36.285,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-09-27 06:59:59.999,f23981ee-d696-4d7a-aad0-34007b810f23,
1,2024-09-27 07:00:00.000,,,1,,2024-09-27 13:27:21.321,2024-09-27 13:27:21.321,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-09-28 06:59:59.999,4d274696-7f4a-4d1b-b1a9-f316085a993d,
