com.samsung.shealth.food_favorite,6307003,1
amount,food_type,update_time,create_time,name,unit,favoriteid,calorie,deviceuuid,pkg_name,datauuid,food_info_id
0.0,2,2024-04-17 01:22:36.601,2024-04-17 01:22:36.601,71db0610-e377-4aea-b12c-7411f79ec05d,,71db0610-e377-4aea-b12c-7411f79ec05d,0.0,3sHRV5oxWU,com.sec.android.app.shealth,fac6e9db-c700-406d-8526-706eae00b773,e75d42b6-70fa-4c7c-9380-8325f5813d8c,
0.0,2,2024-04-17 01:22:36.601,2024-04-17 01:22:36.601,71db0610-e377-4aea-b12c-7411f79ec05d,,71db0610-e377-4aea-b12c-7411f79ec05d,0.0,3sHRV5oxWU,com.sec.android.app.shealth,a8ca4803-c676-4d92-a855-e840ea8c249e,c43599d6-dbc5-4955-99c2-d2221356904a,
0.0,2,2024-04-17 01:23:36.015,2024-04-17 01:23:36.015,2c6942aa-e092-4c59-955d-ee5f7b9cfd16,,2c6942aa-e092-4c59-955d-ee5f7b9cfd16,0.0,3sHRV5oxWU,com.sec.android.app.shealth,dfa90b8d-d789-44c8-89af-578a6dcd1079,1c79d632-07fa-45e3-b145-520b9b863bfd,
0.0,2,2024-04-17 01:24:36.334,2024-04-17 01:24:36.334,db8ded04-704e-4157-9ee6-8eeffc569a6e,,db8ded04-704e-4157-9ee6-8eeffc569a6e,0.0,3sHRV5oxWU,com.sec.android.app.shealth,6e377541-49ed-4705-963b-acaee06c165d,bd244bb5-0bf9-49ea-9471-89825266e2b8,
0.0,2,2024-04-17 01:21:36.269,2024-04-17 01:21:36.269,d6278948-4d7d-42a2-90c3-9f3c21dbf118,,d6278948-4d7d-42a2-90c3-9f3c21dbf118,0.0,3sHRV5oxWU,com.sec.android.app.shealth,c1fa350c-113e-4e38-ab86-16262fe0fd9e,6e55bbc5-707a-48a8-a1b8-fc752c552178,
0.0,2,2024-04-17 01:22:04.929,2024-04-17 01:22:04.929,059117c4-a990-4d2b-9a2b-f147c04520f4,,059117c4-a990-4d2b-9a2b-f147c04520f4,0.0,3sHRV5oxWU,com.sec.android.app.shealth,6bc2a791-b2a0-469d-aa81-88b6a046157e,6e55bbc5-707a-48a8-a1b8-fc752c552178,
0.0,2,2024-04-17 01:22:04.930,2024-04-17 01:22:04.930,059117c4-a990-4d2b-9a2b-f147c04520f4,,059117c4-a990-4d2b-9a2b-f147c04520f4,0.0,3sHRV5oxWU,com.sec.android.app.shealth,ec5b1167-5b40-40f8-aeb1-21e5aea42dc8,e75d42b6-70fa-4c7c-9380-8325f5813d8c,
0.0,2,2024-04-17 01:22:36.601,2024-04-17 01:22:36.601,71db0610-e377-4aea-b12c-7411f79ec05d,,71db0610-e377-4aea-b12c-7411f79ec05d,0.0,3sHRV5oxWU,com.sec.android.app.shealth,36a48e85-e92a-4839-ad99-86aacb5098db,6e55bbc5-707a-48a8-a1b8-fc752c552178,
0.0,2,2024-04-19 00:08:53.177,2024-04-19 00:08:53.177,01c7d92f-fd50-4fc2-bc37-a7cba2b1d53a,,01c7d92f-fd50-4fc2-bc37-a7cba2b1d53a,0.0,3sHRV5oxWU,com.sec.android.app.shealth,c1354248-5fd2-4286-8d45-f1b170ebeb1a,dc093763-aa08-4282-ae2c-3ad82b52f169,
0.0,2,2024-04-19 00:09:38.863,2024-04-19 00:09:38.863,15cb2fab-f77b-4a03-9531-ae7663db2686,,15cb2fab-f77b-4a03-9531-ae7663db2686,0.0,3sHRV5oxWU,com.sec.android.app.shealth,80c178de-1cb9-4609-91eb-7c9980473484,24ec0f14-3a92-4f66-b6a4-13c28469d999,
0.0,2,2024-04-19 00:08:02.748,2024-04-19 00:08:02.748,1cc41a08-c2c2-4a3f-94c3-0dc08ad60a2e,,1cc41a08-c2c2-4a3f-94c3-0dc08ad60a2e,0.0,3sHRV5oxWU,com.sec.android.app.shealth,93208b13-0878-4cb9-bab9-d61db94a20c7,77061c6f-961a-4322-b6cb-f7ac78589bc2,
0.0,2,2024-04-19 00:08:20.299,2024-04-19 00:08:20.299,51721c86-b88a-4bbe-a4e7-ca785d16dfd7,,51721c86-b88a-4bbe-a4e7-ca785d16dfd7,0.0,3sHRV5oxWU,com.sec.android.app.shealth,dc764c7c-10f0-4057-b932-ed57b2f60f15,567b9a78-9384-4491-b6e0-b3cfdc3cdcb8,
0.0,2,2024-04-19 00:08:37.277,2024-04-19 00:08:37.277,4b378748-c0fa-41c1-a3d2-dcd8280dd34d,,4b378748-c0fa-41c1-a3d2-dcd8280dd34d,0.0,3sHRV5oxWU,com.sec.android.app.shealth,0e340389-7142-4921-a7a2-8f7e4c0db673,567b9a78-9384-4491-b6e0-b3cfdc3cdcb8,
0.0,2,2024-04-19 00:08:37.278,2024-04-19 00:08:37.278,4b378748-c0fa-41c1-a3d2-dcd8280dd34d,,4b378748-c0fa-41c1-a3d2-dcd8280dd34d,0.0,3sHRV5oxWU,com.sec.android.app.shealth,377fe8f6-49da-40f8-8b8a-ceed0aaa6e53,6592672c-4c67-4ae0-b494-57b391f2ae81,
0.0,2,2024-04-19 00:08:53.177,2024-04-19 00:08:53.177,01c7d92f-fd50-4fc2-bc37-a7cba2b1d53a,,01c7d92f-fd50-4fc2-bc37-a7cba2b1d53a,0.0,3sHRV5oxWU,com.sec.android.app.shealth,8700c922-82a2-4633-9320-7768510e70d2,567b9a78-9384-4491-b6e0-b3cfdc3cdcb8,
0.0,2,2024-04-19 00:08:53.177,2024-04-19 00:08:53.177,01c7d92f-fd50-4fc2-bc37-a7cba2b1d53a,,01c7d92f-fd50-4fc2-bc37-a7cba2b1d53a,0.0,3sHRV5oxWU,com.sec.android.app.shealth,f43ab79a-3cf7-48e0-99d5-00c556735715,6592672c-4c67-4ae0-b494-57b391f2ae81,
0.0,2,2024-04-19 04:42:49.840,2024-04-19 04:42:49.840,6d70c3e7-f140-4229-b3ae-43497e693a34,,6d70c3e7-f140-4229-b3ae-43497e693a34,0.0,3sHRV5oxWU,com.sec.android.app.shealth,1c284baf-8414-40cd-b386-0fedef6174d8,e75d42b6-70fa-4c7c-9380-8325f5813d8c,
0.0,2,2024-04-19 04:44:22.183,2024-04-19 04:44:22.183,e0773c0d-3696-41a5-a4b7-56e8947588a1,,e0773c0d-3696-41a5-a4b7-56e8947588a1,0.0,3sHRV5oxWU,com.sec.android.app.shealth,91237ad7-4a3e-46ab-8afa-ef9f3ce17c91,e75d42b6-70fa-4c7c-9380-8325f5813d8c,
0.0,2,2024-04-19 04:44:22.184,2024-04-19 04:44:22.184,e0773c0d-3696-41a5-a4b7-56e8947588a1,,e0773c0d-3696-41a5-a4b7-56e8947588a1,0.0,3sHRV5oxWU,com.sec.android.app.shealth,344332be-e452-4f0f-8d72-1c8ebf331aa3,c99a3a4b-4f16-4b78-9cb8-a2aaee805ca1,
0.0,2,2024-04-21 00:16:52.648,2024-04-21 00:16:52.648,d87a8b12-8e59-4273-ab12-bdf0d6ca6e31,,d87a8b12-8e59-4273-ab12-bdf0d6ca6e31,0.0,3sHRV5oxWU,com.sec.android.app.shealth,6d514c9e-d68d-4533-ba48-d61c791274b8,e56d4c1c-9c38-41de-b141-5afa296fbcc6,
0.0,2,2024-04-21 00:17:18.114,2024-04-21 00:17:18.114,85963eb1-ebbe-4017-b77b-e5db4f2ba4d2,,85963eb1-ebbe-4017-b77b-e5db4f2ba4d2,0.0,3sHRV5oxWU,com.sec.android.app.shealth,b44408da-d8c5-4269-a3bc-157f9f268f7d,8805ada0-facd-4980-8d6b-955b0aa66ee9,
0.0,2,2024-04-21 00:17:42.636,2024-04-21 00:17:42.636,3d23fe47-0a20-474c-987d-ef2a6a9f8a69,,3d23fe47-0a20-474c-987d-ef2a6a9f8a69,0.0,3sHRV5oxWU,com.sec.android.app.shealth,2ef69494-9276-4ee6-b4ac-cd466800b35b,b8a2935a-32b5-4890-9150-309f9f58ecbb,
0.0,2,2024-04-23 01:23:29.948,2024-04-23 01:23:29.948,7751ef69-b765-4837-96de-304a079d6b20,,7751ef69-b765-4837-96de-304a079d6b20,0.0,3sHRV5oxWU,com.sec.android.app.shealth,754ec5f5-c40a-40a7-a5ef-b9f8f932b925,b8a2935a-32b5-4890-9150-309f9f58ecbb,
0.0,2,2024-04-23 01:23:42.394,2024-04-23 01:23:42.394,3372296e-7376-49d8-9911-cc2ba96959ef,,3372296e-7376-49d8-9911-cc2ba96959ef,0.0,3sHRV5oxWU,com.sec.android.app.shealth,8df66a6c-7cdf-4419-8283-b82a5b8e0dfe,b931dd28-1336-45dc-9947-f718db84aa93,
0.0,2,2024-04-23 01:23:42.394,2024-04-23 01:23:42.394,3372296e-7376-49d8-9911-cc2ba96959ef,,3372296e-7376-49d8-9911-cc2ba96959ef,0.0,3sHRV5oxWU,com.sec.android.app.shealth,8b36fa31-79d5-486d-8f62-ad247f8addea,f8697900-136c-4b71-a5b7-298ee1485bf0,
0.0,2,2024-04-23 01:23:42.394,2024-04-23 01:23:42.394,3372296e-7376-49d8-9911-cc2ba96959ef,,3372296e-7376-49d8-9911-cc2ba96959ef,0.0,3sHRV5oxWU,com.sec.android.app.shealth,894540da-6169-422e-9745-e5b5b2f443c5,e9eceb3d-4b42-4e9b-8399-006c558c60b5,
0.0,2,2024-04-23 01:22:50.845,2024-04-23 01:22:50.845,a3aa154d-7811-46cb-aec8-ee440e6899fe,,a3aa154d-7811-46cb-aec8-ee440e6899fe,0.0,3sHRV5oxWU,com.sec.android.app.shealth,1b7303ee-bb57-4162-a8e8-fe6ba23a062f,b931dd28-1336-45dc-9947-f718db84aa93,
