com.samsung.health.nutrition,6307003,6
magnesium,potassium,create_sh_ver,vitamin_a,vitamin_c,vitamin_d,vitamin_e,vitamin_k,cholesterol,vitamin_b12,start_time,biotin,phosphorus,copper,custom,thiamin,folate,iodine,niacin,sodium,molybdenum,folic_acid,modify_sh_ver,dietary_fiber,total_fat,update_time,create_time,meal_type,caffeine,monosaturated_fat,protein,manganese,polysaturated_fat,iron,zinc,riboflavin,sugar,title,added_sugar,calories_from_fat,calcium,calorie,time_offset,deviceuuid,polyunsaturated_fat,saturated_fat,trans_fat,pkg_name,selenium,vitamin_b6,carbohydrate,unsaturated_fat,chloride,pantothenic_acid,datauuid,chromium
,0.0,62660010,0.0,0.0,0.0,,,200.0,,2024-04-17 01:22:36.593,,,,,,,,,2440.0,,,62660010,6.0,57.0,2024-04-17 01:22:36.594,2024-04-17 01:21:36.261,100003,,0.0,64.0,,0.0,0.0,,,58.0,Dinner,0.0,,0.0,1220.0,UTC-0700,3sHRV5oxWU,,28.0,0.0,com.sec.android.app.shealth,,,119.0,,,,d7908a0e-c765-441b-9c58-abff0baaf211,,
,89.0,62660010,0.0,0.0,0.0,,,0.0,,2024-04-17 01:23:36.010,,,,,,,,,12.0,,,62660010,0.0,1.4,2024-04-17 01:23:36.011,2024-04-17 01:23:36.011,100001,,0.0,0.3,,0.0,0.7,,,2.2,Breakfast,0.0,,0.4,26.0,UTC-0700,3sHRV5oxWU,,1.3,0.0,com.sec.android.app.shealth,,,2.9,,,,5934700d-1e6a-4b06-a873-0acb1a318496,,
,700.0,62660010,0.0,0.0,0.0,,,0.0,,2024-04-17 01:24:36.329,,,,,,,,,800.0,,,62660010,4.0,18.0,2024-04-17 01:24:36.330,2024-04-17 01:24:36.330,100002,,0.0,5.0,,0.0,4.4,,,0.0,Lunch,0.0,,2.3,320.0,UTC-0700,3sHRV5oxWU,,1.5,0.0,com.sec.android.app.shealth,,,35.0,,,,d9260393-078a-4709-8182-f03f4cb5350c,,
,0.0,62660010,0.0,0.0,0.0,,,280.0,,2024-04-19 00:08:02.738,,,,,,,,,1030.0,,,62660010,2.0,19.0,2024-04-19 00:08:02.740,2024-04-19 00:08:02.740,100001,,0.0,21.0,,0.0,0.0,,,4.0,Breakfast,0.0,,0.0,410.0,UTC-0700,3sHRV5oxWU,,8.0,0.0,com.sec.android.app.shealth,,,38.0,,,,a5e20a5a-884f-4bf6-b101-cfbbbe47b517,,
,395.0,62660010,2.8,0.6,0.0,,,69.0,,2024-04-19 00:08:53.173,,,,,,,,,841.0,,,62660010,2.2,19.3,2024-04-19 00:08:53.174,2024-04-19 00:08:20.295,100002,,2.9,31.0,,4.2,23.0,,,2.4,Lunch,0.0,,12.1,523.0,UTC-0700,3sHRV5oxWU,,3.5,0.0,com.sec.android.app.shealth,,,54.9,,,,c7341e4b-275d-4875-a250-fd2d05cff3c2,,
,349.0,62660010,7.5,0.0,0.0,,,24.0,,2024-04-19 00:09:38.854,,,,,,,,,98.0,,,62660010,0.0,7.9,2024-04-19 00:09:38.856,2024-04-19 00:09:38.856,100005,,1.9,7.8,,0.4,0.3,,,12.8,Afternoon snack,0.0,,21.2,146.0,UTC-0700,3sHRV5oxWU,,4.5,0.0,com.sec.android.app.shealth,,,11.0,,,,695c7c0b-05cd-477b-933c-a89d6f3b5c2b,,
,0.0,62660010,0.0,0.0,0.0,,,95.0,,2024-04-19 04:44:22.178,,,,,,,,,1310.0,,,62660010,3.0,35.0,2024-04-19 04:44:22.179,2024-04-19 04:42:49.836,100003,,0.0,26.0,,0.0,0.0,,,66.0,Dinner,0.0,,0.0,780.0,UTC-0700,3sHRV5oxWU,,20.0,0.0,com.sec.android.app.shealth,,,93.0,,,,316cf030-d346-40d3-b2ca-c3fe1215b958,,
,50.0,62660010,0.0,0.0,0.0,,,0.0,,2024-04-21 00:16:52.643,,,,,,,,,160.0,,,62660010,0.0,0.0,2024-04-21 00:16:52.644,2024-04-21 00:16:52.644,100005,,0.0,0.0,,0.0,0.0,,,21.0,Afternoon snack,21.0,,0.0,80.0,UTC-0700,3sHRV5oxWU,,0.0,0.0,com.sec.android.app.shealth,,,22.0,,,,22099458-c169-4940-8b97-dbd0e35c0516,,
,0.0,62660010,0.0,0.0,0.0,,,0.0,,2024-04-21 00:17:18.103,,,,,,,,,1620.0,,,62660010,4.0,22.0,2024-04-21 00:17:18.104,2024-04-21 00:17:18.104,100002,,0.0,74.0,,0.0,0.0,,,4.0,Lunch,0.0,,0.0,820.0,UTC-0700,3sHRV5oxWU,,7.0,0.0,com.sec.android.app.shealth,,,90.0,,,,81d9d2b5-a64b-4286-b6e1-ba298e7eaea6,,
,35.0,62660010,0.0,0.0,0.0,,,15.0,,2024-04-21 00:17:42.631,,,,,,,,,190.0,,,62660010,0.0,6.0,2024-04-21 00:17:42.632,2024-04-21 00:17:42.632,100004,,1.5,7.0,,0.0,0.0,,,0.0,Morning snack,0.0,,0.0,80.0,UTC-0700,3sHRV5oxWU,,3.0,0.0,com.sec.android.app.shealth,,,0.0,,,,361b98b3-b2b6-4567-b67b-a2a624c7a4d9,,
,35.0,62660010,0.0,0.0,0.0,,,15.0,,2024-04-23 01:23:29.940,,,,,,,,,190.0,,,62660010,0.0,6.0,2024-04-23 01:23:29.943,2024-04-23 01:23:29.943,100001,,1.5,7.0,,0.0,0.0,,,0.0,Breakfast,0.0,,0.0,80.0,UTC-0700,3sHRV5oxWU,,3.0,0.0,com.sec.android.app.shealth,,,0.0,,,,92ad1687-a5b2-4f79-98d6-99caad9b727d,,
,300.0,62660010,0.0,3.4,0.0,,,75.0,,2024-04-23 01:23:42.388,,,,,,,,,1846.0,,,62660010,4.9,51.0,2024-04-23 01:23:42.389,2024-04-23 01:22:50.853,100002,,4.6,28.9,,1.3,3.8,,,34.3,Lunch,0.0,,0.5,1016.0,UTC-0700,3sHRV5oxWU,,18.8,2.0,com.sec.android.app.shealth,,,112.3,,,,6f6813ae-f3d1-422f-b5aa-bc183d426d70,,
,200.0,62660010,0.0,0.0,0.0,,,172.5,,2024-05-11 02:56:44.332,,,,,,,,,2070.0,,,62660010,5.0,55.5,2024-05-11 02:56:44.332,2024-05-11 02:55:40.989,100003,,1.0,55.0,,1.5,1.1,,,29.5,Dinner,5.5,,0.0,1115.0,UTC-0700,3sHRV5oxWU,,21.5,0.0,com.sec.android.app.shealth,,,107.5,,,,d59bbe05-7b31-4261-95d8-afe92403fb04,,
,0.0,62660010,0.0,0.0,0.0,,,0.0,,2024-05-11 02:59:12.236,,,,,,,,,0.0,,,62660010,0.0,0.0,2024-05-11 02:59:12.238,2024-05-11 02:59:12.238,100006,,0.0,0.0,,0.0,0.0,,,27.0,Evening snack,27.0,,0.0,100.0,UTC-0700,3sHRV5oxWU,,0.0,0.0,com.sec.android.app.shealth,,,27.0,,,,b005f0dd-1c53-4041-bbd5-c3534089fa5c,,
,0.0,62660010,0.0,0.0,0.0,,,75.0,,2024-05-12 04:18:31.599,,,,,,,,,3105.0,,,62660010,0.0,76.5,2024-05-12 04:18:31.601,2024-05-12 04:18:31.601,100002,,0.0,21.0,,0.0,0.0,,,12.0,Lunch,0.0,,0.0,1125.0,UTC-0700,3sHRV5oxWU,,21.0,0.7,com.sec.android.app.shealth,,,96.0,,,,15b8a78b-cbfb-4873-9824-893fe38f95de,,
