com.samsung.shealth.preferences,6307003,2
text_value,service_id,float_value,update_time,create_time,long_value,tag,blob_value,int_value,deviceuuid,pkg_name,double_value,datauuid
,,,2026-01-05 05:43:51.458,2026-01-05 05:43:56.043,,,,1,+NZu810/s3,com.sec.android.app.shealth,,settings.location_agreement,
,,,2026-01-05 16:32:43.489,2026-01-05 05:43:56.065,,,,0,+NZu810/s3,com.sec.android.app.shealth,,oobe.sensitive_data_agreement,
,,,2026-01-05 16:32:43.738,2026-01-05 05:43:56.068,,,,2,+NZu810/s3,com.sec.android.app.shealth,,oobe.shd_access_authority_status,
,,,2026-01-05 05:43:51.468,2026-01-05 05:43:56.089,,,,1,+NZu810/s3,com.sec.android.app.shealth,,settings.marketing_agreement,
,,,2026-01-05 16:32:43.495,2026-01-05 05:43:56.091,,,,0,+NZu810/s3,com.sec.android.app.shealth,,oobe.sensitive_data_available,
,,,2026-01-05 05:43:51.475,2026-01-05 05:43:56.114,,,,1,+NZu810/s3,com.sec.android.app.shealth,,settings.personalization_agreement,
,,,2026-01-05 05:44:02.890,2026-01-05 05:44:02.914,,,,0,+NZu810/s3,com.sec.android.app.shealth,,boost.card.selected_category,
,,,2026-01-05 05:44:02.890,2026-01-05 05:44:02.923,1767591842890,,,,+NZu810/s3,com.sec.android.app.shealth,,mow.selected_time,
0,tracker.exercise,,2026-01-05 05:44:05.023,2026-01-05 05:44:05.414,,,,,+NZu810/s3,com.sec.android.app.shealth,,34-badges.DB.update,
,tracker.exercise,,2026-01-05 05:44:05.100,2026-01-05 05:44:05.503,,,,0,+NZu810/s3,com.sec.android.app.shealth,,34-cumulative.values.reset,
,tracker.sleep,,2026-01-05 05:44:04.956,2026-01-05 05:44:05.540,,,,0,+NZu810/s3,com.sec.android.app.shealth,,06-snore_setting_new,
,tracker.sleep,,2026-01-05 05:44:04.966,2026-01-05 05:44:05.549,,,,0,+NZu810/s3,com.sec.android.app.shealth,,06-snore.setting.option_new,
,tracker.sleep,,2026-01-27 04:35:57.089,2026-01-05 05:44:05.599,,,,,+NZu810/s3,com.sec.android.app.shealth,,sleep_guidance_updated_bed_time,
,,,2026-01-05 05:44:32.554,2026-01-05 05:44:06.050,1761955199999,,,,+NZu810/s3,com.sec.android.app.shealth,,shealth.6.29.upgrade.date,
mcrzf5up_eq,tracker.exercise,,2026-01-05 05:44:14.467,2026-01-05 05:44:06.294,,,,,+NZu810/s3,com.sec.android.app.shealth,,34-exercise.periodization.active.id,
,app.settings,,2024-03-29 04:53:15.900,2024-03-29 04:53:15.900,,,,0,b4nSrpWupN,com.sec.android.app.shealth,,72-wearable.is_child_account,
,,,2024-04-17 00:50:57.684,2024-04-17 00:50:57.703,,,,1,3sHRV5oxWU,com.sec.android.app.shealth,,sc.tile_init_state,
,,,2024-04-21 00:16:00.693,2024-04-21 00:14:53.547,,,,1,3sHRV5oxWU,com.sec.android.app.shealth,,sc.symbol_trial_state,
,,,2024-07-13 17:30:18.218,2024-07-13 17:30:18.227,,,,1,3sHRV5oxWU,com.sec.android.app.shealth,,sleep_coaching.trial_state,
,tracker.sleep,,2024-09-08 13:40:22.547,2024-09-08 13:40:22.547,,,,1,3sHRV5oxWU,com.sec.android.app.shealth,,sleep_good_reward_not_shown,
"{""ant"":170,""at"":129,""maxHr"":187,""time"":1727548393983}",tracker.exercise,,2024-09-28 18:33:14.614,2024-09-28 18:33:14.614,,,,,b4nSrpWupN,com.sec.android.app.shealth,,34-exercise.max.hr.at.ant,
,,,2024-11-24 04:24:15.602,2024-11-24 04:24:10.183,,,medication.lifestyle_factor.setting.blob_value.json,,3sHRV5oxWU,com.sec.android.app.shealth,,medication.lifestyle_factor.setting,
