com.samsung.health.skin_temperature,6307003,4
create_sh_ver,stat_m1,stat_m2,baseline,start_time,binning_data,stat_n,tag_id,modify_sh_ver,lower_bound,update_time,create_time,client_data_id,upper_bound,max,min,client_data_ver,temperature,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
,35.24852,1242.7922,,2024-04-19 13:09:00.000,f7949bb9-6dd7-4471-ae0b-2631e2f5b403.binning_data.json,61,31301,,,2024-04-19 15:12:59.658,2024-04-19 15:12:59.658,,,36.088264,34.55233,,35.24852,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-04-19 15:12:00.000,f7949bb9-6dd7-4471-ae0b-2631e2f5b403,
,35.882607,1287.9602,,2024-04-20 07:00:00.000,885c4d5d-47cf-43fc-a868-0c328605e2f4.binning_data.json,473,31301,,,2024-04-20 15:16:59.913,2024-04-20 15:16:59.913,,,36.98712,34.10334,,35.882607,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-04-20 15:16:00.000,885c4d5d-47cf-43fc-a868-0c328605e2f4,
,35.749134,1278.6759,,2024-04-19 07:20:00.000,f938158f-a36f-4997-8b33-8af2110b4e5b.binning_data.json,300,31301,,,2024-04-20 15:17:03.102,2024-04-19 13:07:32.017,,,37.0265,34.402596,,35.749134,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-04-19 12:26:00.000,f938158f-a36f-4997-8b33-8af2110b4e5b,
,35.819878,1283.4814,35.788216,2024-04-21 07:53:00.000,f5992501-80d4-4e64-9fe4-9eab9666e8fa.binning_data.json,363,31301,,34.37428,2024-04-23 05:02:49.431,2024-04-21 14:29:06.314,,37.202156,36.769917,33.79706,,35.819878,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-04-21 14:01:00.000,f5992501-80d4-4e64-9fe4-9eab9666e8fa,
,35.475655,1259.0623,35.81687,2024-04-23 07:08:00.000,f8f390e5-57df-4f6d-bdd4-cd886d206deb.binning_data.json,270,31301,,34.46623,2024-04-23 12:49:03.552,2024-04-23 12:49:03.552,,37.16751,36.839542,34.046894,,35.475655,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-04-23 12:24:00.000,f8f390e5-57df-4f6d-bdd4-cd886d206deb,
,36.19696,1310.2509,35.797817,2024-04-22 07:09:00.000,755a6680-b7ca-438b-a959-a903cef08523.binning_data.json,60,31301,,34.426502,2024-04-23 12:49:05.737,2024-04-22 09:10:34.357,,37.169132,36.503067,35.786747,,36.19696,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-04-22 09:01:00.000,755a6680-b7ca-438b-a959-a903cef08523,
,35.88449,1288.4601,35.74109,2024-04-24 08:25:00.000,b75366eb-5edc-41e6-a943-eb046bf61a29.binning_data.json,89,31301,,34.35811,2024-04-24 10:15:45.026,2024-04-24 10:15:45.026,,37.124065,37.125786,34.185505,,35.88449,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-04-24 10:10:00.000,b75366eb-5edc-41e6-a943-eb046bf61a29,
,35.633644,1270.4037,35.81262,2024-04-26 07:12:00.000,a5328a78-c818-4cb9-95cc-3c0861c332e5.binning_data.json,252,31301,,34.424126,2024-04-26 12:10:34.881,2024-04-26 12:10:34.881,,37.201115,37.007053,34.254177,,35.633644,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-04-26 11:40:00.000,a5328a78-c818-4cb9-95cc-3c0861c332e5,
,35.604717,1268.1246,35.75654,2024-04-23 12:49:00.000,0ac9f454-61e1-4d79-b114-14f7dece87c2.binning_data.json,173,31301,,34.36596,2024-04-26 12:10:37.083,2024-04-23 16:32:56.819,,37.147114,36.761177,34.397987,,35.604717,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-04-23 15:42:00.000,0ac9f454-61e1-4d79-b114-14f7dece87c2,
,36.245735,1313.9711,35.748222,2024-04-24 10:34:00.000,f482cc8c-fc62-4df6-b317-259b1daa2745.binning_data.json,266,31301,,34.345684,2024-04-26 12:10:37.095,2024-04-24 15:42:01.387,,37.150757,37.06632,34.956844,,36.245735,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-04-24 14:52:00.000,f482cc8c-fc62-4df6-b317-259b1daa2745,
,36.08571,1302.3446,35.81004,2024-04-26 14:48:00.000,4fb40a00-61aa-4077-8560-8c3586bb287f.binning_data.json,119,31301,,34.39853,2024-04-26 17:08:43.861,2024-04-26 17:08:43.861,,37.221554,36.82327,35.18765,,36.08571,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-04-26 17:08:00.000,4fb40a00-61aa-4077-8560-8c3586bb287f,
,36.441505,1328.0105,35.79307,2024-04-26 12:10:00.000,3dc05e0e-2956-4a2b-bb18-f838afecc1b7.binning_data.json,62,31301,,34.378563,2024-04-27 15:20:13.344,2024-04-26 13:41:47.594,,37.207577,36.70629,36.140415,,36.441505,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-04-26 13:16:00.000,3dc05e0e-2956-4a2b-bb18-f838afecc1b7,
,36.43546,1327.634,35.771584,2024-04-28 11:29:00.000,be0ae730-fec6-4bbe-894c-240ab8f76c45.binning_data.json,112,31301,,34.317547,2024-04-28 13:38:57.392,2024-04-28 13:38:57.392,,37.22562,37.034016,35.959854,,36.43546,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-04-28 13:38:00.000,be0ae730-fec6-4bbe-894c-240ab8f76c45,
